SERVICE_REQUEST_ID	STATUS	SERVICE_NAME	SERVICE_CODE	DESCRIPTION	AGENCY_RESPONSIBLE	REQUESTED_DATETIME	UPDATED_DATETIME	EXPECTED_DATETIME	ADDRESS	ZIPCODE	LATITUDE	LONGITUDE	REQUESTED_DATE	UPDATED_DATE	LAST_TABLE_UPDATE
SR21099867	NEW	"""Building, residential"""	"""BLD-RES"""	"""Request entered through the Web. Refer to Intake Questions for further description."""	Cinc Building Dept	2021-11-21	2021-11-21	2022-11-21	"""1596 BLOOMINGDALE AV, CINC - GJ2522929156"""	45230	39.0824771183615	-84.3961045857344	11/21/2021 12:00:00 AM	11/21/2021 12:00:00 AM	11/21/2021 12:00:00 AM
SR22088881	OPEN	"""Tall grass/weeds, private prop"""	"""TLGR-PRV"""	"""Request entered through the Web. Refer to Intake Questions for further description."""	Public Services	2022-09-28	2022-09-28	2022-11-12	"""4753 HIGHRIDGE AV, CINC - GJ0770132027"""	45238	39.1126699585469	-84.5977003847344	09/28/2022 12:00:00 AM	09/28/2022 12:00:00 AM	09/28/2022 12:00:00 AM
SR22023590	NEW	"""Metal Furniture, Spec Collectn"""	"""MTL-FRN"""	"""Request entered through the Web. Refer to Intake Questions for further description."""	Public Services	2022-03-14	2022-03-14	2022-03-28	"""1628 BEACON ST, CINC - GJ2648029252"""	45230	39.0830097384315	-84.3816297598438	03/14/2022 12:00:00 AM	03/14/2022 12:00:00 AM	03/20/2022 12:00:00 AM
SR22003755	NEW	"""Metal Furniture, Spec Collectn"""	"""MTL-FRN"""	"""Request entered through the Web. Refer to Intake Questions for further description."""	Public Services	2022-01-16	2022-01-16	2022-01-30	"""3959 STANDISH AV, CINC - GJ2434940423"""	45213	39.1841261609132	-84.4025421489977	01/16/2022 12:00:00 AM	01/16/2022 12:00:00 AM	01/16/2022 12:00:00 AM
SR22036594	CLOS	"""Sign, down/missing """	"""STRSGN"""	""" """	Public Services	2022-04-26	2022-04-28	2022-04-27	"""1627 DAUNER AV - GJ1827335450 """	45207	39.140895432558	-84.4744323566347	04/26/2022 12:00:00 AM	04/28/2022 12:00:00 AM	05/07/2022 12:00:00 AM
SR21057069	OPEN	"""Building, residential"""	"""BLD-RES"""	"""GUTTERS FALLING OFF/OPEN TO TRESPASSERS/ELECTRIC OFF/LITTLE AND WEEDS"""	Cinc Building Dept	2021-07-01	2021-11-09	2022-07-01	"""4106 W LIBERTY ST - GJ0909332596 """	45205	39.1174562031711	-84.5814423725292	07/01/2021 12:00:00 AM	11/09/2021 12:00:00 AM	11/09/2021 12:00:00 AM
SR22082981	NEW	"""Metal Furniture, Spec Collectn"""	"""MTL-FRN"""	"""Request entered through the Web. Refer to Intake Questions for further description."""	Public Services	2022-09-08	2022-09-08	2022-09-22	"""6077 WAYSIDE CT, CINC - GJ2543130330"""	45230	39.0929876325391	-84.3933852785361	09/08/2022 12:00:00 AM	09/08/2022 12:00:00 AM	09/14/2022 12:00:00 AM
SR21065187	CLOS	"""Sidewalk, Obstructions"""	"""ADASDWKO"""	"""Transfer: 8/11/2021 3:23 PM/MPRUEornamental grasses - THERE IS AN OVERGROWN BLOCKING VISIBILITY. VEHICLES HAVE TO PULL OUT INTO THE INTERSECTION"""	Dept of Trans and Eng	2021-07-23	2021-09-13	2022-02-07	"""2406 ASHLAND AV - GJ1757333607 """	45206	39.1244778308088	-84.4831278758531	07/23/2021 12:00:00 AM	09/13/2021 12:00:00 AM	09/13/2021 12:00:00 AM
SR22001022	NEW	"""Street cleaning"""	"""SCLEN1"""	"""Request entered through the Web. Refer to Intake Questions for further description."""	Public Services	2022-01-05	2022-01-05	2022-01-12	"""1266 SLIKER AV, CINC - GJ0895732541"""	45205	39.1169841540881	-84.5827998218165	01/05/2022 12:00:00 AM	01/05/2022 12:00:00 AM	01/05/2022 12:00:00 AM
SR22039865	CLOS	"""Litter, private property"""	"""LITR-PRV"""	"""Request entered through the Web. Refer to Intake Questions for further description."""	Public Services	2022-05-05	2022-05-05	2022-06-19	"""2286 SCHOEDINGER AV, CINC - GJ1070333346"""	45214	39.1238213362102	-84.5626018412141	05/05/2022 12:00:00 AM	05/05/2022 12:00:00 AM	05/07/2022 12:00:00 AM
SR22078483	CLOS	"""Trash, request for collection"""	"""RF-COLLT"""	"""Request entered through the Web. Refer to Intake Questions for further description."""	Public Services	2022-08-24	2022-08-29	2022-08-31	"""518 HOGE ST, CINC - """	45226	39.1180123349876	-84.4372134878069	08/24/2022 12:00:00 AM	08/29/2022 12:00:00 AM	09/14/2022 12:00:00 AM
SR22054425	NEW	"""Metal Furniture, Spec Collectn"""	"""MTL-FRN"""	"""Request entered through the Web. Refer to Intake Questions for further description."""	Public Services	2022-06-15	2022-06-15	2022-06-29	"""2331 FLORA ST, CINC - GJ1396733694"""	45219	39.1261611018887	-84.5247597096354	06/15/2022 12:00:00 AM	06/15/2022 12:00:00 AM	06/15/2022 12:00:00 AM
SR22102009	NEW	"""Trash, request for collection"""	"""RF-COLLT"""	"""Request entered through the Web. Refer to Intake Questions for further description."""	Public Services	2022-11-17	2022-11-17	2022-11-24	"""3740 EDWARDS RD, CINC - GJ2102236164"""	45209	39.1466322680193	-84.442414231827	11/17/2022 12:00:00 AM	11/17/2022 12:00:00 AM	11/17/2022 12:00:00 AM
SR21072904	CLOS	"""Rats, outside a building"""	"""RATSOUT"""	"""CALLER STATES MICE ARE FLOODING FROM HOME .INDICATES REDIDENT IS A HOARDER . REF TO WASTE UNIT & LITTER CONTROL FOR OTHER ISSUES ."""	Cinc Health Dept	2021-08-16	2021-08-31	2022-02-12	"""6036 HEIS TER - GJ2543729073 """	45230	39.0816670921447	-84.3937466318657	08/16/2021 12:00:00 AM	08/31/2021 12:00:00 AM	08/31/2021 12:00:00 AM
SR22003649	NEW	"""Metal Furniture, Spec Collectn"""	"""MTL-FRN"""	""" """	Public Services	2022-01-14	2022-01-14	2022-01-28	"""716 GHOLSON AV - GJ1695036343 """	45229	39.1492649627705	-84.48944568566	01/14/2022 12:00:00 AM	01/14/2022 12:00:00 AM	01/14/2022 12:00:00 AM
SR22034711	CLOS	"""Metal Furniture, Spec Collectn"""	"""MTL-FRN"""	"""Request entered through the Web. Refer to Intake Questions for further description."""	Public Services	2022-04-21	2022-05-04	2022-05-05	"""6229 LISBON AV, CINC - GJ2146240513"""	45213	39.1856697070995	-84.4358993952923	04/21/2022 12:00:00 AM	05/04/2022 12:00:00 AM	05/07/2022 12:00:00 AM
SR22111059	OPEN	"""Slippery streets, request"""	"""SLPYST"""	"""Request entered through the Web. Refer to Intake Questions for further description."""	Public Services	2022-12-27	2022-12-27	2022-12-28	"""5730 ST ELMO AV, CINC - GJ1236341375"""	45224	39.1957353713033	-84.5411437529718	12/27/2022 12:00:00 AM	12/27/2022 12:00:00 AM	12/31/2022 12:00:00 AM
SR22059041	NEW	"""Building, residential"""	"""BLD-RES"""	"""Working with no permits"""	Cinc Building Dept	2022-06-29	2022-06-29	2023-06-29	"""923 ROGERS PL - GJ1696033476 """	45206	39.1234523503588	-84.4902421085915	06/29/2022 12:00:00 AM	06/29/2022 12:00:00 AM	06/29/2022 12:00:00 AM
SR22111480	NEW	"""Metal Furniture, Spec Collectn"""	"""MTL-FRN"""	""" """	Public Services	2022-12-28	2022-12-28	2023-01-11	"""3542 LUMFORD PL - GJ2330840260 """	45213	39.1829163697928	-84.4146479765818	12/28/2022 12:00:00 AM	12/28/2022 12:00:00 AM	12/31/2022 12:00:00 AM
SR22102334	NEW	"""Metal Furniture, Spec Collectn"""	"""MTL-FRN"""	"""Request entered through the Web. Refer to Intake Questions for further description."""	Public Services	2022-11-18	2022-11-18	2022-12-02	"""5412 RAVENNA ST, CINC - GJ2518638370"""	45227	39.1654313657633	-84.3935447427722	11/18/2022 12:00:00 AM	11/18/2022 12:00:00 AM	11/18/2022 12:00:00 AM
SR22064870	NEW	"""Pothole, repair"""	"""PTHOLE"""	"""Request entered through the Web. Refer to Intake Questions for further description."""	Public Services	2022-07-14	2022-07-14	2022-07-26	"""14 ARCADIA PL, CINC - GJ2132934830"""	45208	39.1345457834295	-84.4393016538177	07/14/2022 12:00:00 AM	07/14/2022 12:00:00 AM	07/14/2022 12:00:00 AM
SR22104077	NEW	"""Service complaint, trash"""	"""SVCCMPLT"""	""" """	Public Services	2022-11-28	2022-11-28	2022-12-28	"""3252 GLENDORA AV - GJ1519335262 """	45220	39.1399747500887	-84.5101095369003	11/28/2022 12:00:00 AM	11/28/2022 12:00:00 AM	11/28/2022 12:00:00 AM
SR22101519	NEW	"""Metal Furniture, Spec Collectn"""	"""MTL-FRN"""	""" """	Public Services	2022-11-16	2022-11-16	2022-11-30	"""2325 FAIRVIEW AV - GJ1356333531 """	45219	39.124787455327	-84.5294976762271	11/16/2022 12:00:00 AM	11/16/2022 12:00:00 AM	11/16/2022 12:00:00 AM
SR22078187	CLOS	"""Sign, street sign name missing"""	"""MSSNGSTR"""	"""STREET NAME SIGN """	Public Services	2022-08-24	2022-08-24	2022-09-07	"""4202 FLORIDA AV - GJ1183037938 """	45223	39.1648830083201	-84.5481501638726	08/24/2022 12:00:00 AM	08/24/2022 12:00:00 AM	09/14/2022 12:00:00 AM
SR22036298	CLOS	"""Pothole, repair"""	"""PTHOLE"""	"""Request entered through the Web. Refer to Intake Questions for further description."""	Public Services	2022-04-26	2022-04-28	2022-05-08	"""3554 SAYBROOK AV, CINC - GJ2326035806"""	45208	39.1426480987081	-84.4166301101398	04/26/2022 12:00:00 AM	04/28/2022 12:00:00 AM	05/07/2022 12:00:00 AM
SR21019981	CLOS	"""Tree, removal request-pub tree"""	"""CPARKF-C"""	"""Transfer: 03/15/2021 7:09 AM/LWISEIn front of the house in the area between the sidewalk and the curb - in the “ tree lawn” The tree has a hole in it and we fear it may be hollow inside therefore susceptible to falling in high winds.  In addition the tree roots have caused the sidewalk to buckle / rise causing a trip hazard for anyone walking on the sidewalk. - Request entered through the Web. Refer to Intake Questions for further description."""	Park Department	2021-03-10	2021-03-26	2022-03-15	"""708 CLANORA DR, CINC - GJ0838931162"""	45205	39.104717931099	-84.5900151389294	03/10/2021 12:00:00 AM	03/26/2021 12:00:00 AM	03/26/2021 12:00:00 AM
SR22100306	OPEN	"""Sidewalk, Obstructions"""	"""ADASDWKO"""	"""Request entered through the Web. Refer to Intake Questions for further description."""	Dept of Trans and Eng	2022-11-10	2022-11-10	2023-05-09	"""3628 LACLEDE AV, CINC - GJ0995332021"""	45205	39.1120695675537	-84.5716872364933	11/10/2022 12:00:00 AM	11/10/2022 12:00:00 AM	11/10/2022 12:00:00 AM
SR22028354	NEW	"""Sign, grnd mnted new/chang/rem"""	"""NW/MSSNG"""	"""Request entered through the Web. Refer to Intake Questions for further description."""	Dept of Trans and Eng	2022-03-30	2022-03-30	2022-06-28	"""BELLEVUE AV & E UNIVERSITY AV"""	45219	39.1325870862236	-84.504242294243	03/30/2022 12:00:00 AM	03/30/2022 12:00:00 AM	03/30/2022 12:00:00 AM
SR22018203	NEW	"""General repair, street"""	"""STRRPRG"""	"""Transfer: 03/10/2022 6:09 AM/LMJOHNSONper 495 transferred to general repair  - Request entered through the Web. Refer to Intake Questions for further description."""	Public Services	2022-02-25	2022-03-10	2022-03-11	"""LESTER RD & GLOSS AV"""	45213	39.1773327394653	-84.4315732492435	02/25/2022 12:00:00 AM	03/10/2022 12:00:00 AM	03/20/2022 12:00:00 AM
SR21057922	NEW	"""Building, residential"""	"""BLD-RES"""	"""Transfer: 07/07/2021 8:09 AM/SGOODWINREFER TO B & I - RETAINING WALL COLLAPSING  - Request entered through the Web. Refer to Intake Questions for further description."""	Cinc Building Dept	2021-07-04	2021-07-07	2022-07-07	"""923 RIVERVIEW PL, CINC - GJ1642131467  PRIVATE STREET"""	45202	39.1052500540028	-84.4967661982559	07/04/2021 12:00:00 AM	07/07/2021 12:00:00 AM	07/07/2021 12:00:00 AM
SR22001139	NEW	"""Dumping, prv prop <2500 sq ft"""	"""DUMP-PVS"""	"""Request entered through the Web. Refer to Intake Questions for further description."""	Public Services	2022-01-05	2022-01-05	2022-02-19	"""2131 WEST FORK RD, CINC - GJ0970137567"""	45211	39.1620682298405	-84.572868167104	01/05/2022 12:00:00 AM	01/05/2022 12:00:00 AM	01/05/2022 12:00:00 AM
SR22064929	NEW	"""Sign, grnd mnted new/chang/rem"""	"""NW/MSSNG"""	"""Request entered through the Web. Refer to Intake Questions for further description."""	Dept of Trans and Eng	2022-07-14	2022-07-14	2022-10-12	"""2878 MCKINLEY AV, CINC - GJ0763635216"""	45211	39.141401296837	-84.5974784569015	07/14/2022 12:00:00 AM	07/14/2022 12:00:00 AM	07/14/2022 12:00:00 AM
SR22090006	NEW	"""Building, residential"""	"""BLD-RES"""	"""reissue case B202102393"""	Cinc Building Dept	2022-10-03	2022-10-03	2023-10-03	"""921 WOODLAWN AV - GJ1031231583 """	45205	39.1080437138101	-84.5676699683379	10/03/2022 12:00:00 AM	10/03/2022 12:00:00 AM	10/03/2022 12:00:00 AM
SR22068381	NEW	"""Metal Furniture, Spec Collectn"""	"""MTL-FRN"""	"""Request entered through the Web. Refer to Intake Questions for further description."""	Public Services	2022-07-25	2022-07-25	2022-08-08	"""1095 ALBANY TER, CINC - GJ1286241489"""	45224	39.1966107841582	-84.5350844050234	07/25/2022 12:00:00 AM	07/25/2022 12:00:00 AM	07/25/2022 12:00:00 AM
SR22040729	NEW	"""Tall grass/weeds, private prop"""	"""TLGR-PRV"""	""" """	Public Services	2022-05-09	2022-05-09	2022-06-23	"""2212 SHASTA PL - GJ0959334329 """	45211	39.1329353460373	-84.5751336224202	05/09/2022 12:00:00 AM	05/09/2022 12:00:00 AM	05/09/2022 12:00:00 AM
SR22098024	NEW	"""Metal Furniture, Spec Collectn"""	"""MTL-FRN"""	""" """	Public Services	2022-11-02	2022-11-02	2022-11-16	"""2533 RACK CT - GJ0932142115 """	45239	39.2030974646536	-84.5758685414701	11/02/2022 12:00:00 AM	11/02/2022 12:00:00 AM	11/02/2022 12:00:00 AM
SR21090983	CLOS	"""Mold, building or apartment"""	"""MOLD"""	"""mold on walls in bathroom and bedroom"""	Cinc Health Dept	2021-10-15	2021-11-24	2022-04-13	"""528 E 13TH ST - GJ1566532052 """	45202	39.1109514704547	-84.5056703671609	10/15/2021 12:00:00 AM	11/24/2021 12:00:00 AM	11/24/2021 12:00:00 AM
SR22020980	CLOS	"""Metal Furniture, Spec Collectn"""	"""MTL-FRN"""	"""Request entered through the Web. Refer to Intake Questions for further description."""	Public Services	2022-03-07	2022-03-07	2022-03-21	"""1095 SUNNYSLOPE DR, CINC - GJ1764638085"""	45229	39.1647807753924	-84.4808325110888	03/07/2022 12:00:00 AM	03/07/2022 12:00:00 AM	03/20/2022 12:00:00 AM
SR22055977	NEW	"""Tall grass/weeds, PS property"""	"""TLGR-PS"""	"""Request entered through the Web. Refer to Intake Questions for further description."""	Public Services	2022-06-21	2022-06-21	2022-08-20	"""HARDISTY AV & HERSCHEL AV"""	45208	39.1313979128396	-84.4225223191181	06/21/2022 12:00:00 AM	06/21/2022 12:00:00 AM	06/21/2022 12:00:00 AM
SR22035927	CLOS	"""Dead animal"""	"""DAPUB1"""	"""STATED IN BAG ON CURB"""	Public Services	2022-04-25	2022-04-26	2022-04-26	"""4330 VIRGINIA AV - GJ1181238333 """	45223	39.1684463137992	-84.5482328416951	04/25/2022 12:00:00 AM	04/26/2022 12:00:00 AM	05/07/2022 12:00:00 AM
SR21106627	NEW	"""Metal Furniture, Spec Collectn"""	"""MTL-FRN"""	""" """	Public Services	2021-12-20	2021-12-20	2022-01-03	"""3613 VINE ST - GJ1499836264 """	45220	39.1490426026194	-84.5120406405317	12/20/2021 12:00:00 AM	12/20/2021 12:00:00 AM	12/20/2021 12:00:00 AM
SR22015313	CLOS	"""Metal Furniture, Spec Collectn"""	"""MTL-FRN"""	"""Request entered through the Web. Refer to Intake Questions for further description."""	Public Services	2022-02-19	2022-03-04	2022-03-05	"""4245 MAD ANTHONY ST, CINC - GJ1289737950"""	45223	39.164740714866	-84.5357985077052	02/19/2022 12:00:00 AM	03/04/2022 12:00:00 AM	03/20/2022 12:00:00 AM
SR22108173	OPEN	"""Parking, grass front yd res"""	"""PRKNGYRD"""	"""Remove camper on property"""	Cinc Building Dept	2022-12-14	2022-12-20	2023-06-12	"""4708 GLENWAY AV - GJ0797732470 """	45238	39.1165887701569	-84.5943763870592	12/14/2022 12:00:00 AM	12/20/2022 12:00:00 AM	12/31/2022 12:00:00 AM
SR21104220	NEW	"""Litter, private property"""	"""LITR-PRV"""	"""Request entered through the Web. Refer to Intake Questions for further description."""	Public Services	2021-12-09	2021-12-09	2022-01-23	"""2244 GRAEBE AV, CINC - GJ1068533192"""	45214	39.1224381074342	-84.5628574352399	12/09/2021 12:00:00 AM	12/09/2021 12:00:00 AM	12/09/2021 12:00:00 AM
SR22087163	CLOS	"""Sign, down/missing """	"""STRSGN"""	"""NO PARKING SIGN """	Public Services	2022-09-21	2022-09-21	2022-09-22	"""3131 SPRING GROVE AV - GJ1233835084 """	45225	39.1390701850528	-84.5431592679697	09/21/2022 12:00:00 AM	09/21/2022 12:00:00 AM	09/21/2022 12:00:00 AM
SR22068483	NEW	"""Metal Furniture, Spec Collectn"""	"""MTL-FRN"""	"""Request entered through the Web. Refer to Intake Questions for further description."""	Public Services	2022-07-25	2022-07-25	2022-08-08	"""418 MCDOWELL ST, CINC - """	45226	39.1165880509559	-84.4364938643112	07/25/2022 12:00:00 AM	07/25/2022 12:00:00 AM	07/25/2022 12:00:00 AM
SR22022182	CLOS	"""Recycling, new 64 gallon cart"""	"""NEW64CRT"""	"""64-GALLON CART"""	City Manager's Office	2022-03-09	2022-03-14	2022-03-19	"""2241 LOTH ST, CINC - GJ1487433226"""	45219	39.121724508714	-84.5144286501356	03/09/2022 12:00:00 AM	03/14/2022 12:00:00 AM	03/20/2022 12:00:00 AM
SR22025906	NEW	"""Tires, Special Collection"""	"""TIRES"""	""" """	Public Services	2022-03-22	2022-03-22	2022-04-05	"""740 ELBERON AV - GJ1048431292 """	45205	39.1053805407991	-84.5657763595004	03/22/2022 12:00:00 AM	03/22/2022 12:00:00 AM	03/22/2022 12:00:00 AM
SR22033068	CLOS	"""Food operation, request gen"""	"""GRCRYCNC"""	"""Dive Bar- Caller states there is mold in the bathrooms."""	Cinc Health Dept	2022-04-15	2022-04-20	2022-10-12	"""2608 SHORT VINE ST - GJ1529534101 """	45219	39.1294924379724	-84.509291560267	04/15/2022 12:00:00 AM	04/20/2022 12:00:00 AM	05/07/2022 12:00:00 AM
SR22074100	PEND	"""Recycling, new 64 gallon cart"""	"""NEW64CRT"""	"""64-GALLON CART"""	City Manager's Office	2022-08-11	2022-08-11	2022-08-21	"""2407 CLIFTON AV, CINC - GJ1438933717"""	45219	39.1262682823194	-84.5198758804798	08/11/2022 12:00:00 AM	08/11/2022 12:00:00 AM	08/11/2022 12:00:00 AM
SR22001969	NEW	"""Metal Furniture, Spec Collectn"""	"""MTL-FRN"""	""" """	Public Services	2022-01-10	2022-01-10	2022-01-24	"""7761 STILLWELL RD - GJ1958042471 """	45237	39.2037697787301	-84.457054246233	01/10/2022 12:00:00 AM	01/10/2022 12:00:00 AM	01/10/2022 12:00:00 AM
SR22111022	CLOS	"""Trash, request for collection"""	"""RF-COLLT"""	"""HASNT BEEN PICKED UP FOR 2 MONTHS"""	Public Services	2022-12-27	2022-12-29	2023-01-03	"""1006 ELIZA ST - GJ1335433863 """	45214	39.1278257242361	-84.5318032163337	12/27/2022 12:00:00 AM	12/29/2022 12:00:00 AM	12/31/2022 12:00:00 AM
SR22005492	NEW	"""Trash, request for collection"""	"""RF-COLLT"""	"""Request entered through the Web. Refer to Intake Questions for further description."""	Public Services	2022-01-23	2022-01-23	2022-01-30	"""3555 WERK RD, CINC - GJ0555435149"""	45211	39.1412813882909	-84.6215766451571	01/23/2022 12:00:00 AM	01/23/2022 12:00:00 AM	01/23/2022 12:00:00 AM
SR22068003	NEW	"""Trash, improper set out"""	"""TRASH-I"""	"""Request entered through the Web. Refer to Intake Questions for further description."""	Public Services	2022-07-24	2022-07-24	2022-07-31	"""3405 HARVEY AV, CINC - GJ1617135412"""	45229	39.1410804261848	-84.4987359950939	07/24/2022 12:00:00 AM	07/24/2022 12:00:00 AM	07/25/2022 12:00:00 AM
SR22094718	NEW	"""Metal Furniture, Spec Collectn"""	"""MTL-FRN"""	""" """	Public Services	2022-10-19	2022-10-19	2022-11-02	"""5211 PONDEROSA DR - GJ0942840086 """	45239	39.1848066297882	-84.5752575661408	10/19/2022 12:00:00 AM	10/19/2022 12:00:00 AM	10/19/2022 12:00:00 AM
SR22085460	CLOS	"""Trash, improper set out"""	"""TRASH-I"""	"""Request entered through the Web. Refer to Intake Questions for further description."""	Public Services	2022-09-15	2022-09-15	2022-09-16	"""2331 VICTOR ST, CINC - GJ1403433695"""	45219	39.1261526829796	-84.5239837672877	09/15/2022 12:00:00 AM	09/15/2022 12:00:00 AM	09/15/2022 12:00:00 AM
SR22017862	CLOS	"""Litter, private property"""	"""LITR-PRV"""	"""EXCESSIVE TRASH  ON SIDE OF THE APT"""	Public Services	2022-02-25	2022-03-17	2022-04-11	"""1912 QUEEN CITY AV - GJ1068633687 """	45214	39.1268956702487	-84.5626920158799	02/25/2022 12:00:00 AM	03/17/2022 12:00:00 AM	03/20/2022 12:00:00 AM
SR22069934	NEW	"""Metal Furniture, Spec Collectn"""	"""MTL-FRN"""	"""Request entered through the Web. Refer to Intake Questions for further description."""	Public Services	2022-07-29	2022-07-29	2022-08-12	"""1418 YARMOUTH AV, CINC - GJ1828539121"""	45237	39.1739450628226	-84.4731063623659	07/29/2022 12:00:00 AM	07/29/2022 12:00:00 AM	07/29/2022 12:00:00 AM
SR22028093	OPEN	"""Litter, private property"""	"""LITR-PRV"""	"""Request entered through the Web. Refer to Intake Questions for further description."""	Public Services	2022-03-30	2022-03-30	2022-05-14	"""108 E DANIELS ST, CINC - GJ1547334342"""	45219	39.1316250778706	-84.5071451186264	03/30/2022 12:00:00 AM	03/30/2022 12:00:00 AM	03/30/2022 12:00:00 AM
SR22100096	NEW	"""Metal Furniture, Spec Collectn"""	"""MTL-FRN"""	"""Request entered through the Web. Refer to Intake Questions for further description."""	Public Services	2022-11-09	2022-11-09	2022-11-23	"""22 RENNEL DR, CINC -   PRIVATE STREET"""	45226	39.1262169848041	-84.4283957417895	11/09/2022 12:00:00 AM	11/09/2022 12:00:00 AM	11/09/2022 12:00:00 AM
SR22016026	CLOS	"""Metal Furniture, Spec Collectn"""	"""MTL-FRN"""	"""Request entered through the Web. Refer to Intake Questions for further description."""	Public Services	2022-02-22	2022-03-04	2022-03-08	"""2161 ST JAMES AV, CINC - GJ1691033100"""	45206	39.1200842930614	-84.4909435747464	02/22/2022 12:00:00 AM	03/04/2022 12:00:00 AM	03/20/2022 12:00:00 AM
SR22104327	NEW	"""Metal Furniture, Spec Collectn"""	"""MTL-FRN"""	""" """	Public Services	2022-11-29	2022-11-29	2022-12-13	"""3929 PAXTON AV - GJ2233436517 """	45209	39.1494768902322	-84.4271397918726	11/29/2022 12:00:00 AM	11/29/2022 12:00:00 AM	11/29/2022 12:00:00 AM
SR22104311	NEW	"""Metal Furniture, Spec Collectn"""	"""MTL-FRN"""	"""Request entered through the Web. Refer to Intake Questions for further description."""	Public Services	2022-11-29	2022-11-29	2022-12-13	"""3768 MT VERNON AV, CINC - GJ2198036241"""	45209	39.1470814663769	-84.4313063798388	11/29/2022 12:00:00 AM	11/29/2022 12:00:00 AM	11/29/2022 12:00:00 AM
SR22066969	NEW	"""Trash, request for collection"""	"""RF-COLLT"""	"""Request entered through the Web. Refer to Intake Questions for further description."""	Public Services	2022-07-20	2022-07-20	2022-07-27	"""4326 MILLSBRAE AV, CINC - GJ2133037176"""	45209	39.1556639522961	-84.4385262627006	07/20/2022 12:00:00 AM	07/20/2022 12:00:00 AM	07/20/2022 12:00:00 AM
SR22027927	NEW	"""Metal Furniture, Spec Collectn"""	"""MTL-FRN"""	"""Request entered through the Web. Refer to Intake Questions for further description."""	Public Services	2022-03-29	2022-03-29	2022-04-12	"""4 TANGLEWOOD LN, CINC - GJ1116640895  PRIVATE STREET"""	45224	39.1916752667909	-84.5548920894116	03/29/2022 12:00:00 AM	03/29/2022 12:00:00 AM	03/29/2022 12:00:00 AM
SR22016962	CLOS	"""Pothole, repair"""	"""PTHOLE"""	"""ON VICTORY POTHOLE- THERE IS A BIG POTHOLE CITIZEN HIT THE POTHOLE WHICH CAUSED A FLAT TO HIS RIGHT PASSENGER FRONT TIRE """	Public Services	2022-02-23	2022-03-03	2022-03-07	"""VICTORY PKWY & LEDGEWOOD DR - GJ1829636768 """	45229	39.1527546894175	-84.47374609403	02/23/2022 12:00:00 AM	03/03/2022 12:00:00 AM	03/20/2022 12:00:00 AM
SR22041970	NEW	"""Pothole, repair"""	"""PTHOLE"""	"""Request entered through the Web. Refer to Intake Questions for further description."""	Public Services	2022-05-11	2022-05-11	2022-05-23	"""2771 ROBERTSON AV, CINC - GJ2135237194"""	45209	39.1558219165899	-84.4382766517564	05/11/2022 12:00:00 AM	05/11/2022 12:00:00 AM	05/11/2022 12:00:00 AM
SR22059209	NEW	"""Metal Furniture, Spec Collectn"""	"""MTL-FRN"""	""" """	Public Services	2022-06-29	2022-06-29	2022-07-13	"""3496 BROOKLINE AV - GJ1469635877 """	45220	39.1456321339304	-84.5156497804239	06/29/2022 12:00:00 AM	06/29/2022 12:00:00 AM	06/29/2022 12:00:00 AM
SR22053610	CLOS	"""Street cleaning"""	"""SCLEN1"""	"""BUSTED WINDOW - GLASS"""	Public Services	2022-06-14	2022-06-14	2022-06-21	"""34 W 6TH ST - GJ1493131081 """	45202	39.1023979348005	-84.5144603131688	06/14/2022 12:00:00 AM	06/14/2022 12:00:00 AM	06/14/2022 12:00:00 AM
SR22046819	NEW	"""Damage Claim - NOD"""	"""DMGNOD"""	"""CITIZEN STATE TRASH TRUCK HIT HIS PARK CAR ON 5/23 7:56 AM. BROKEN MIRROR,  BACK PANEL """	Public Services	2022-05-24	2022-05-24	2022-05-25	"""E CLIFTON AV & FRINTZ ST - GJ1481332662 """	45202	39.1166584269519	-84.5153235477813	05/24/2022 12:00:00 AM	05/24/2022 12:00:00 AM	05/24/2022 12:00:00 AM
SR22024035	NEW	"""Building, residential"""	"""BLD-RES"""	"""Request entered through the Web. Refer to Intake Questions for further description."""	Cinc Building Dept	2022-03-16	2022-03-16	2023-03-16	"""2620 HEMLOCK ST, CINC - GJ1667334023"""	45206	39.1284489101871	-84.4933806212737	03/16/2022 12:00:00 AM	03/16/2022 12:00:00 AM	03/20/2022 12:00:00 AM
SR22110329	CLOS	"""Recycling, new 96 gallon cart"""	"""NEW96CRT"""	"""12 carts for the The Rye apartments. Alerted that we will deliver Friday, 12/30/22. """	City Manager's Office	2022-12-23	2022-12-29	2023-01-02	"""701 MAIN ST - GJ1526231296 """	45202	39.104253448922	-84.5105656730198	12/23/2022 12:00:00 AM	12/29/2022 12:00:00 AM	12/31/2022 12:00:00 AM
SR22061559	NEW	"""Signal, traf/ped/school repair"""	"""TSIG-MAL"""	"""Request entered through the Web. Refer to Intake Questions for further description."""	Dept of Trans and Eng	2022-07-07	2022-07-07	2022-07-08	"""818 REEDY ST, CINC - GJ1572531549"""	45202	39.1053905576836	-84.5072319379751	07/07/2022 12:00:00 AM	07/07/2022 12:00:00 AM	07/07/2022 12:00:00 AM
